idx,title,year,poster,status,tmdb_id
177,Easy A,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1282140.jpg,downloaded,37735
178,Yes Man,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1068680.jpg,downloaded,10201
179,Knocked Up,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0478311.jpg,downloaded,4964
180,The Proposal,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1041829.jpg,downloaded,18240
181,Click,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0389860.jpg,downloaded,9339
182,Burn After Reading,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0887883.jpg,downloaded,4944
183,Due Date,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1231583.jpg,downloaded,41733
184,Up in the Air,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1193138.jpg,downloaded,22947
185,The Holiday,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0457939.jpg,downloaded,1581
186,Step Brothers,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0838283.jpg,downloaded,12133
187,Forgetting Sarah Marshall,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0800039.jpg,downloaded,9870
188,Grown Ups,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1375670.jpg,downloaded,38365
189,Mamma Mia!,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0795421.jpg,downloaded,11631
190,Vicky Cristina Barcelona,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0497465.jpg,downloaded,5038
191,Role Models,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0430922.jpg,downloaded,15373
192,Love & Other Drugs,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0758752.jpg,downloaded,43347
193,Stranger Than Fiction,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0420223.jpg,downloaded,1262
194,The Ugly Truth,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1142988.jpg,downloaded,20943
195,17 Again,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0974661.jpg,downloaded,16996
196,P.S. I Love You,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0431308.jpg,downloaded,6023
197,"I Love You, Man",2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1155056.jpg,downloaded,16538
198,Talladega Nights: The Ballad of Ricky Bobby,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0415306.jpg,downloaded,9718
199,Tucker and Dale vs Evil,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1465522.jpg,downloaded,46838
200,Hot Tub Time Machine,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1231587.jpg,downloaded,23048
201,What Happens in Vegas,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1033643.jpg,downloaded,9029
202,He's Just Not That Into You,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1001508.jpg,downloaded,10184
203,Get Him to the Greek,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1226229.jpg,downloaded,32823
204,She's the Man,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0454945.jpg,downloaded,9655
205,Zack and Miri Make a Porno,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1007028.jpg,downloaded,10358
206,27 Dresses,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0988595.jpg,downloaded,6557
207,Blades of Glory,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0445934.jpg,downloaded,9955
208,"Definitely, Maybe",2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0832266.jpg,downloaded,8390
209,Date Night,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1279935.jpg,downloaded,35056
